description,location,start_time,name,start_order,result_order,nat,shooting,total,total_time
Men 20km Individual,Suedtirol Arena Alto Adige,2021-01-22T12:15:00Z,JACQUELIN Emilien,47,25,FRA,0+1+0+3,4,52:04.5
Women 15km Individual,Suedtirol Arena Alto Adige,2021-01-21T13:15:00Z,AVVAKUMOVA Ekaterina,69,24,KOR,1+0+1+0,2,45:36.8
Women 12.5km Mass Start,Suedtirol Arena Alto Adige,2021-01-23T12:10:00Z,VITTOZZI Lisa,22,27,ITA,2+2+0+0,4,39:45.6
Men 4x7.5km Relay,Suedtirol Arena Alto Adige,2021-01-23T14:05:00Z,LEITNER Felix,34,6,AUT,0+3 0+1,0+4,57:27.3
Women 4x6km Relay,Vysocina Arena,2021-03-04T15:05:00Z,VITTOZZI Lisa,39,7,ITA,0+2 0+0,0+2,47:30.1
Men 4x7.5km Relay,Vysocina Arena,2021-03-05T14:20:00Z,BELARUS,66,8,BLR,0+2 1+5,1+7,1:15:54.7
Mixed Relay (W+M),Vysocina Arena,2021-03-14T09:25:00Z,VARABEI Maksim,44,10,BLR,0+1 0+1,0+2,49:55.4
Men 10km Sprint,Vysocina Arena,2021-03-06T14:40:00Z,KRCMAR Michal,91,39,CZE,1+1,2,24:28.6
Women 7.5km Sprint,Vysocina Arena,2021-03-06T10:00:00Z,HAUSER Lisa Theresa,21,38,AUT,1+2,3,20:25.0
Women 10km Pursuit,Vysocina Arena,2021-03-07T11:00:00Z,GASPARIN Aita,28,41,SUI,0+0+2+2,4,30:47.3
Men 10km Sprint,Vysocina Arena,2021-03-11T16:30:00Z,PRYMA Artem,37,43,UKR,0+0,0,23:55.0
Men 12.5km Pursuit,Vysocina Arena,2021-03-13T13:45:00Z,VARABEI Maksim,51,46,BLR,0+1+3+0,4,32:54.1
Women 7.5km Sprint,Vysocina Arena,2021-03-12T16:30:00Z,EDER Mari,7,45,FIN,2+1,3,19:50.3
Women 10km Pursuit,Vysocina Arena,2021-03-13T16:30:00Z,HAMMERSCHMIDT Maren,60,48,GER,1+0+0+2,3,31:29.7
Men 10km Sprint,Swedish National Biathlon Arena,2021-03-19T14:30:00Z,BUTA George,81,54,ROU,1+0,1,24:43.2
Men 12.5km Pursuit,Swedish National Biathlon Arena,2021-03-20T14:15:00Z,NELIN Jesper,36,59,SWE,3+2+3+2,10,39:03.0
Women 10km Pursuit,Swedish National Biathlon Arena,2021-03-20T11:15:00Z,BESCOND Anais,25,56,FRA,2+3+1+3,9,38:58.7
Single Mixed Relay (W+M),Vysocina Arena,2021-03-14T12:45:00Z,SEPPALA Tero,105,13,FIN,0+1 0+1,0+2,39:30.5
Single Mixed Relay (W+M),Arena am Rennsteig,2021-01-10T13:40:00Z,SWITZERLAND,41,16,SUI,0+6 0+6,0+12,42:29.8
Men 4x7.5km Relay,Biathlon Stadium Hochfilzen,2020-12-13T13:00:00Z,JAPAN,71,17,JPN,1+4 1+7,2+11,1:22:01.4
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-12-03T15:30:00Z,SEPANDJ Darya,101,86,CAN,1+2,3,25:00.3
Men 4x7.5km Relay,Biathlon Stadium Kontiolahti,2020-12-06T11:45:00Z,LAHAYE-GOFFART Tom,114,20,BEL,0+0 0+2,0+2,1:01:52.4
Women 7.5km Sprint,Swedish National Biathlon Arena,2021-03-19T11:30:00Z,SHEVCHENKO Anastasia,62,53,RUS,1+0,1,20:20.2
Women 4x6km Relay,Suedtirol Arena Alto Adige,2021-01-24T11:45:00Z,OEBERG Elvira,3,7,SWE,0+0 3+3,3+3,36:02.5
Men 12.5km Pursuit,Arena am Rennsteig,2021-01-09T13:45:00Z,PONSILUOMA Martin,6,12,SWE,1+3+0+1,5,37:03.5
Women 10km Pursuit,Biathlon Stadium Hochfilzen,2020-12-19T14:00:00Z,OEBERG Elvira,5,3,SWE,1+0+0+1,2,28:52.4
Men 15km Mass Start,Biathlon Stadium Hochfilzen,2020-12-20T11:00:00Z,JACQUELIN Emilien,6,5,FRA,1+0+1+0,2,36:15.7
Men 12.5km Pursuit,Biathlon Stadium Hochfilzen,2020-12-19T12:00:00Z,JACQUELIN Emilien,8,2,FRA,0+0+0+0,0,31:23.4
Women 10km Pursuit,Arena am Rennsteig,2021-01-09T11:45:00Z,PERSSON Linn,19,10,SWE,0+1+0+0,1,34:02.3
Women 7.5km Sprint,Arena am Rennsteig,2021-01-08T10:30:00Z,DAVIDOVA Marketa,17,7,CZE,0+1,1,24:53.7
Men 10km Sprint,Arena am Rennsteig,2021-01-08T13:15:00Z,CLAUDE Fabien,46,8,FRA,0+1,1,26:08.0
Men 10km Sprint,Arena am Rennsteig,2021-01-13T13:30:00Z,LATYPOV Eduard,41,15,RUS,1+0,1,25:49.4
Mixed Relay (W+M),Arena am Rennsteig,2021-01-10T10:30:00Z,CLAUDE Fabien,14,3,FRA,0+2 0+2,0+4,52:38.0
Men 4x7.5km Relay,Arena am Rennsteig,2021-01-15T13:30:00Z,ELISEEV Matvey,18,4,RUS,0+2 0+2,0+4,42:37.6
Men 15km Mass Start,Arena am Rennsteig,2021-01-17T11:30:00Z,GUIGONNAT Antonin,20,23,FRA,1+1+1+1,4,39:30.1
Women 7.5km Sprint,Arena am Rennsteig,2021-01-14T13:30:00Z,HAMMERSCHMIDT Maren,1,17,GER,0+0,0,23:43.1
Women 4x6km Relay,Arena am Rennsteig,2021-01-16T13:45:00Z,FRANCE,6,5,FRA,0+5 2+5,2+10,1:16:19.7
Men 20km Individual,Suedtirol Arena Alto Adige,2021-01-22T12:15:00Z,DOLL Benedikt,1,26,GER,2+1+0+2,5,52:04.6
Women 15km Individual,Suedtirol Arena Alto Adige,2021-01-21T13:15:00Z,BANKES Megan,12,25,CAN,0+1+1+0,2,45:43.8
Women 12.5km Mass Start,Suedtirol Arena Alto Adige,2021-01-23T12:10:00Z,TANDREVOLD Ingrid Landmark,13,28,NOR,1+0+2+2,5,40:08.8
Men 4x7.5km Relay,Suedtirol Arena Alto Adige,2021-01-23T14:05:00Z,EBERHARD Julian,35,6,AUT,0+0 0+2,0+2,1:16:44.8
Women 4x6km Relay,Vysocina Arena,2021-03-04T15:05:00Z,CARRARA Michela,40,7,ITA,0+0 0+3,0+3,1:04:06.7
Men 4x7.5km Relay,Vysocina Arena,2021-03-05T14:20:00Z,LABASTAU Mikita,67,8,BLR,0+2 0+0,0+2,18:51.3
Mixed Relay (W+M),Vysocina Arena,2021-03-14T09:25:00Z,SMOLSKI Anton,45,10,BLR,0+3 0+2,0+5,1:05:08.9
Men 10km Sprint,Vysocina Arena,2021-03-06T14:40:00Z,BARTKO Simon,101,40,SVK,0+1,1,24:28.9
Women 7.5km Sprint,Vysocina Arena,2021-03-06T10:00:00Z,MAEDA Sari,62,39,JPN,1+1,2,20:32.1
Women 10km Pursuit,Vysocina Arena,2021-03-07T11:00:00Z,PIDHRUSHNA Olena,34,42,UKR,2+1+1+1,5,30:57.3
Men 10km Sprint,Vysocina Arena,2021-03-11T16:30:00Z,SINAPOV Anton,73,44,BUL,0+1,1,23:55.5
Men 12.5km Pursuit,Vysocina Arena,2021-03-13T13:45:00Z,USOV Mihail,24,47,MDA,2+1+1+0,4,32:55.7
Women 7.5km Sprint,Vysocina Arena,2021-03-12T16:30:00Z,LIE Lotte,80,46,BEL,0+0,0,19:51.4
Women 10km Pursuit,Vysocina Arena,2021-03-13T16:30:00Z,JISLOVA Jessica,31,49,CZE,2+1+1+1,5,31:39.9
Men 10km Sprint,Swedish National Biathlon Arena,2021-03-19T14:30:00Z,GIACOMEL Tommaso,92,55,ITA,1+2,3,24:43.8
Women 10km Pursuit,Swedish National Biathlon Arena,2021-03-20T11:15:00Z,GASPARIN Elisa,60,57,SUI,2+3+2+2,9,40:03.8
Single Mixed Relay (W+M),Vysocina Arena,2021-03-14T12:45:00Z,CANADA,31,14,CAN,2+8 0+5,2+13,39:33.7
Single Mixed Relay (W+M),Arena am Rennsteig,2021-01-10T13:40:00Z,CADURISCH Irene,42,16,SUI,0+0 0+3,0+3,10:04.2
Men 4x7.5km Relay,Biathlon Stadium Hochfilzen,2020-12-13T13:00:00Z,TACHIZAKI Mikito,72,17,JPN,0+0 0+3,0+3,20:13.5
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-12-03T15:30:00Z,SCHNEIDER Sophia,103,87,GER,1+3,4,25:06.6
Men 4x7.5km Relay,Biathlon Stadium Kontiolahti,2020-12-06T11:45:00Z,DIELEN Pjotr,115,20,BEL,0+0 0+2,0+2,1:24:47.7
Women 7.5km Sprint,Swedish National Biathlon Arena,2021-03-19T11:30:00Z,KNOTTEN Karoline Offigstad,10,54,NOR,0+2,2,20:21.2
Women 4x6km Relay,Suedtirol Arena Alto Adige,2021-01-24T11:45:00Z,PERSSON Linn,4,7,SWE,0+0 0+0,0+0,52:33.8
Men 12.5km Pursuit,Arena am Rennsteig,2021-01-09T13:45:00Z,JACQUELIN Emilien,14,13,FRA,1+1+1+1,4,37:10.5
Women 10km Pursuit,Biathlon Stadium Hochfilzen,2020-12-19T14:00:00Z,TANDREVOLD Ingrid Landmark,2,4,NOR,0+1+0+1,2,28:53.0
Women 7.5km Sprint,Biathlon Stadium Hochfilzen,2020-12-18T13:15:00Z,ECKHOFF Tiril,25,1,NOR,1+0,1,19:38.0
Men 15km Mass Start,Biathlon Stadium Hochfilzen,2020-12-20T11:00:00Z,LAEGREID Sturla Holm,2,6,NOR,0+0+0+1,1,36:18.3
Men 12.5km Pursuit,Biathlon Stadium Hochfilzen,2020-12-19T12:00:00Z,BOE Johannes Thingnes,3,3,NOR,2+0+1+0,3,31:23.8
Women 10km Pursuit,Arena am Rennsteig,2021-01-09T11:45:00Z,BRAISAZ-BOUCHET Justine,9,11,FRA,0+2+1+1,4,34:18.9
Women 7.5km Sprint,Arena am Rennsteig,2021-01-08T10:30:00Z,KRUCHINKINA Elena,74,8,BLR,0+2,2,24:54.9
Men 10km Sprint,Arena am Rennsteig,2021-01-08T13:15:00Z,WEGER Benjamin,79,9,SUI,0+0,0,26:08.5
Men 10km Sprint,Arena am Rennsteig,2021-01-13T13:30:00Z,CHRISTIANSEN Vetle Sjaastad,80,16,NOR,1+0,1,25:52.1
Mixed Relay (W+M),Arena am Rennsteig,2021-01-10T10:30:00Z,FILLON MAILLET Quentin,15,3,FRA,0+0 0+0,0+0,1:08:33.8
Men 4x7.5km Relay,Arena am Rennsteig,2021-01-15T13:30:00Z,LOGINOV Alexander,19,4,RUS,0+0 0+1,0+1,1:03:40.0
Men 15km Mass Start,Arena am Rennsteig,2021-01-17T11:30:00Z,PONSILUOMA Martin,7,24,SWE,2+0+1+2,5,39:37.7
Women 7.5km Sprint,Arena am Rennsteig,2021-01-14T13:30:00Z,BRORSSON Mona,14,18,SWE,0+0,0,23:44.6
Women 4x6km Relay,Arena am Rennsteig,2021-01-16T13:45:00Z,BESCOND Anais,7,5,FRA,0+0 0+1,0+1,18:14.2
Men 20km Individual,Suedtirol Arena Alto Adige,2021-01-22T12:15:00Z,DALE Johannes,63,27,NOR,0+1+2+1,4,52:09.5
Women 15km Individual,Suedtirol Arena Alto Adige,2021-01-21T13:15:00Z,MAKA Anna,74,26,POL,0+1+0+0,1,45:46.0
Women 12.5km Mass Start,Suedtirol Arena Alto Adige,2021-01-23T12:10:00Z,EGAN Clare,25,29,USA,1+1+1+1,4,41:12.0
Men 4x7.5km Relay,Suedtirol Arena Alto Adige,2021-01-23T14:05:00Z,FINLAND,51,7,FIN,0+3 0+6,0+9,1:16:56.7
Women 4x6km Relay,Vysocina Arena,2021-03-04T15:05:00Z,RUSSIA,21,8,RUS,0+4 0+7,0+11,1:04:18.2
Men 4x7.5km Relay,Vysocina Arena,2021-03-05T14:20:00Z,SMOLSKI Anton,68,8,BLR,0+0 0+0,0+0,36:43.3
Mixed Relay (W+M),Vysocina Arena,2021-03-14T09:25:00Z,CZECH REPUBLIC,66,11,CZE,1+9 0+8,1+17,1:05:34.4
Men 10km Sprint,Vysocina Arena,2021-03-06T14:40:00Z,WINDISCH Dominik,16,41,ITA,0+2,2,24:29.2
Women 7.5km Sprint,Vysocina Arena,2021-03-06T10:00:00Z,SEMERENKO Valentina,79,40,UKR,0+2,2,20:34.2
Women 10km Pursuit,Vysocina Arena,2021-03-07T11:00:00Z,BRORSSON Mona,42,43,SWE,1+0+0+1,2,31:03.2
Men 10km Sprint,Vysocina Arena,2021-03-11T16:30:00Z,FINELLO Jeremy,18,45,SUI,0+3,3,23:56.2
Men 12.5km Pursuit,Vysocina Arena,2021-03-13T13:45:00Z,HARJULA Tuomas,47,48,FIN,1+1+0+3,5,32:57.9
Women 7.5km Sprint,Vysocina Arena,2021-03-12T16:30:00Z,FEMSTEINEVIK Ragnhild,100,47,NOR,3+0,3,19:52.2
Women 10km Pursuit,Vysocina Arena,2021-03-13T16:30:00Z,EDER Mari,45,50,FIN,2+2+1+1,6,31:41.3
Men 10km Sprint,Swedish National Biathlon Arena,2021-03-19T14:30:00Z,USOV Mihail,41,56,MDA,1+1,2,24:46.9
Women 10km Pursuit,Swedish National Biathlon Arena,2021-03-20T11:15:00Z,WEIDEL Anna,31,58,GER,1+2+3+3,9,40:13.0
Single Mixed Relay (W+M),Vysocina Arena,2021-03-14T12:45:00Z,LUNDER Emma,32,14,CAN,0+1 0+2,0+3,9:14.4
Single Mixed Relay (W+M),Arena am Rennsteig,2021-01-10T13:40:00Z,STALDER Sebastian,43,16,SUI,0+2 0+2,0+4,19:18.3
Men 4x7.5km Relay,Biathlon Stadium Hochfilzen,2020-12-13T13:00:00Z,OZAKI Kosuke,73,17,JPN,0+0 0+1,0+1,40:20.3
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-12-03T15:30:00Z,IRWIN Deedra,90,88,USA,1+3,4,25:07.6
Men 4x7.5km Relay,Biathlon Stadium Kontiolahti,2020-12-06T11:45:00Z,BULGARIA,71,21,BUL,0+0 2+3,2+3,Lapped
Women 7.5km Sprint,Swedish National Biathlon Arena,2021-03-19T11:30:00Z,BLASHKO Darya,26,54,UKR,1+1,2,20:21.2
Women 4x6km Relay,Suedtirol Arena Alto Adige,2021-01-24T11:45:00Z,OEBERG Hanna,5,7,SWE,0+0 0+2,0+2,1:08:42.1
Men 12.5km Pursuit,Arena am Rennsteig,2021-01-09T13:45:00Z,GOW Christian,29,14,CAN,0+0+0+0,0,37:14.5
Women 10km Pursuit,Biathlon Stadium Hochfilzen,2020-12-19T14:00:00Z,WIERER Dorothea,10,5,ITA,0+0+0+1,1,29:07.0
Men 10km Sprint,Biathlon Stadium Hochfilzen,2020-12-17T13:15:00Z,LAEGREID Sturla Holm,39,1,NOR,0+0,0,23:04.9
Women 7.5km Sprint,Biathlon Stadium Hochfilzen,2020-12-18T13:15:00Z,TANDREVOLD Ingrid Landmark,21,2,NOR,0+0,0,19:45.6
Men 15km Mass Start,Biathlon Stadium Hochfilzen,2020-12-20T11:00:00Z,BOE Johannes Thingnes,1,7,NOR,0+0+1+2,3,36:19.2
Men 12.5km Pursuit,Biathlon Stadium Hochfilzen,2020-12-19T12:00:00Z,CHRISTIANSEN Vetle Sjaastad,4,4,NOR,0+0+0+0,0,31:27.9
Women 10km Pursuit,Arena am Rennsteig,2021-01-09T11:45:00Z,DAVIDOVA Marketa,7,12,CZE,0+0+1+3,4,34:22.3
Women 7.5km Sprint,Arena am Rennsteig,2021-01-08T10:30:00Z,BRAISAZ-BOUCHET Justine,23,9,FRA,1+0,1,25:03.1
Men 10km Sprint,Arena am Rennsteig,2021-01-08T13:15:00Z,YALIOTNAU Raman,78,10,BLR,0+0,0,26:09.8
Men 10km Sprint,Arena am Rennsteig,2021-01-13T13:30:00Z,FAK Jakov,26,17,SLO,0+0,0,25:52.5
Mixed Relay (W+M),Arena am Rennsteig,2021-01-10T10:30:00Z,BELARUS,56,4,BLR,1+4 0+1,1+5,1:09:12.0
Men 4x7.5km Relay,Arena am Rennsteig,2021-01-15T13:30:00Z,LATYPOV Eduard,20,4,RUS,0+1 0+0,0+1,1:24:23.3
Men 15km Mass Start,Arena am Rennsteig,2021-01-17T11:30:00Z,RASTORGUJEVS Andrejs,26,25,LAT,3+1+0+1,5,40:01.0
Women 7.5km Sprint,Arena am Rennsteig,2021-01-14T13:30:00Z,KAISHEVA Uliana,67,19,RUS,1+0,1,23:45.3
Women 4x6km Relay,Arena am Rennsteig,2021-01-16T13:45:00Z,CHEVALIER-BOUCHET Anais,8,5,FRA,0+2 0+0,0+2,37:06.9
Men 20km Individual,Suedtirol Arena Alto Adige,2021-01-22T12:15:00Z,SMOLSKI Anton,38,28,BLR,1+0+1+1,3,52:11.3
Women 15km Individual,Suedtirol Arena Alto Adige,2021-01-21T13:15:00Z,TALIHAERM Johanna,44,27,EST,1+0+0+1,2,45:48.0
Women 12.5km Mass Start,Suedtirol Arena Alto Adige,2021-01-23T12:10:00Z,ALIMBEKAVA Dzinara,6,30,BLR,2+4+1+1,8,41:26.5
Men 4x7.5km Relay,Suedtirol Arena Alto Adige,2021-01-23T14:05:00Z,HARJULA Tuomas,52,7,FIN,0+0 0+3,0+3,19:23.9
Women 4x6km Relay,Vysocina Arena,2021-03-04T15:05:00Z,KAISHEVA Uliana,22,8,RUS,0+1 0+2,0+3,15:39.5
Men 4x7.5km Relay,Vysocina Arena,2021-03-05T14:20:00Z,VARABEI Maksim,69,8,BLR,0+0 1+3,1+3,56:17.3
Mixed Relay (W+M),Vysocina Arena,2021-03-14T09:25:00Z,JISLOVA Jessica,67,11,CZE,0+2 0+2,0+4,16:53.4
Men 10km Sprint,Vysocina Arena,2021-03-06T14:40:00Z,TRSAN Rok,87,42,SLO,0+0,0,24:31.5
Women 7.5km Sprint,Vysocina Arena,2021-03-06T10:00:00Z,CHEVALIER Chloe,70,41,FRA,1+1,2,20:34.3
Women 10km Pursuit,Vysocina Arena,2021-03-07T11:00:00Z,OJA Regina,47,44,EST,0+3+0+0,3,31:05.0
Men 10km Sprint,Vysocina Arena,2021-03-11T16:30:00Z,CLAUDE Emilien,93,46,FRA,0+1,1,23:56.4
Men 12.5km Pursuit,Vysocina Arena,2021-03-13T13:45:00Z,BOCHARNIKOV Sergey,36,49,BLR,1+0+1+2,4,33:00.1
Women 7.5km Sprint,Vysocina Arena,2021-03-12T16:30:00Z,JEANMONNOT Lou,95,48,FRA,1+0,1,19:52.3
Women 10km Pursuit,Vysocina Arena,2021-03-13T16:30:00Z,AKIMOVA Tatiana,25,51,RUS,1+4+0+0,5,31:49.5
Men 10km Sprint,Swedish National Biathlon Arena,2021-03-19T14:30:00Z,TYSHCHENKO Artem,90,57,UKR,0+0,0,24:47.4
Single Mixed Relay (W+M),Vysocina Arena,2021-03-14T12:45:00Z,GOW Christian,33,14,CAN,0+3 0+2,0+5,17:57.3
Single Mixed Relay (W+M),Arena am Rennsteig,2021-01-10T13:40:00Z,CADURISCH Irene,44,16,SUI,0+3 0+0,0+3,29:21.0
Men 4x7.5km Relay,Biathlon Stadium Hochfilzen,2020-12-13T13:00:00Z,KOBONOKI Tsukasa,74,17,JPN,0+1 0+0,0+1,1:00:26.5
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-12-03T15:30:00Z,BANKES Megan,80,89,CAN,0+4,4,25:08.9
Men 4x7.5km Relay,Biathlon Stadium Kontiolahti,2020-12-06T11:45:00Z,SINAPOV Anton,72,21,BUL,0+2 0+3,0+5,20:50.5
Women 7.5km Sprint,Swedish National Biathlon Arena,2021-03-19T11:30:00Z,JEANMONNOT Lou,98,56,FRA,0+1,1,20:21.7
Women 4x6km Relay,Suedtirol Arena Alto Adige,2021-01-24T11:45:00Z,UKRAINE,31,8,UKR,0+4 0+6,0+10,1:08:42.3
Men 12.5km Pursuit,Arena am Rennsteig,2021-01-09T13:45:00Z,BOCHARNIKOV Sergey,13,15,BLR,1+0+2+0,3,37:15.5
Women 10km Pursuit,Biathlon Stadium Hochfilzen,2020-12-19T14:00:00Z,PREUSS Franziska,4,6,GER,0+1+0+1,2,29:14.2
Men 10km Sprint,Biathlon Stadium Hochfilzen,2020-12-17T13:15:00Z,DALE Johannes,41,2,NOR,0+0,0,23:12.8
Women 7.5km Sprint,Biathlon Stadium Hochfilzen,2020-12-18T13:15:00Z,ROEISELAND Marte Olsbu,28,3,NOR,1+0,1,20:02.6
Men 15km Mass Start,Biathlon Stadium Hochfilzen,2020-12-20T11:00:00Z,SAMUELSSON Sebastian,4,8,SWE,1+1+0+0,2,36:22.6
Men 12.5km Pursuit,Biathlon Stadium Hochfilzen,2020-12-19T12:00:00Z,PONSILUOMA Martin,9,5,SWE,0+0+0+0,0,31:30.6
Women 10km Pursuit,Arena am Rennsteig,2021-01-09T11:45:00Z,OEBERG Elvira,24,13,SWE,1+1+1+0,3,34:33.6
Women 7.5km Sprint,Arena am Rennsteig,2021-01-08T10:30:00Z,CHEVALIER-BOUCHET Anais,42,10,FRA,1+1,2,25:03.9
Men 10km Sprint,Arena am Rennsteig,2021-01-08T13:15:00Z,LATYPOV Eduard,34,11,RUS,1+0,1,26:12.6
Men 10km Sprint,Arena am Rennsteig,2021-01-13T13:30:00Z,SAMUELSSON Sebastian,27,18,SWE,0+0,0,25:53.3
Mixed Relay (W+M),Arena am Rennsteig,2021-01-10T10:30:00Z,ALIMBEKAVA Dzinara,57,4,BLR,1+3 0+0,1+3,18:44.8
Men 4x7.5km Relay,Arena am Rennsteig,2021-01-15T13:30:00Z,GERMANY,11,5,GER,3+7 0+4,3+11,1:24:34.4
Men 15km Mass Start,Arena am Rennsteig,2021-01-17T11:30:00Z,CLAUDE Fabien,10,26,FRA,1+1+2+2,6,40:03.7
Women 7.5km Sprint,Arena am Rennsteig,2021-01-14T13:30:00Z,TOMINGAS Tuuli,46,20,EST,0+0,0,23:47.3
Women 4x6km Relay,Arena am Rennsteig,2021-01-16T13:45:00Z,BRAISAZ-BOUCHET Justine,9,5,FRA,0+0 2+3,2+3,56:55.2
Men 20km Individual,Suedtirol Arena Alto Adige,2021-01-22T12:15:00Z,LEITNER Felix,39,29,AUT,0+2+0+2,4,52:13.3
Women 15km Individual,Suedtirol Arena Alto Adige,2021-01-21T13:15:00Z,SEMERENKO Valentina,52,28,UKR,1+0+0+1,2,45:50.1
Men 4x7.5km Relay,Suedtirol Arena Alto Adige,2021-01-23T14:05:00Z,SEPPALA Tero,53,7,FIN,0+0 0+0,0+0,37:45.6
Women 4x6km Relay,Vysocina Arena,2021-03-04T15:05:00Z,KAZAKEVICH Irina,23,8,RUS,0+1 0+3,0+4,32:00.8
Men 4x7.5km Relay,Vysocina Arena,2021-03-05T14:20:00Z,LAZOUSKI Dzmitry,70,8,BLR,0+0 0+2,0+2,1:15:54.7
Mixed Relay (W+M),Vysocina Arena,2021-03-14T09:25:00Z,DAVIDOVA Marketa,68,11,CZE,0+2 0+1,0+3,33:42.8
Men 10km Sprint,Vysocina Arena,2021-03-06T14:40:00Z,RUNNALLS Adam,85,43,CAN,0+1,1,24:33.2
Women 7.5km Sprint,Vysocina Arena,2021-03-06T10:00:00Z,BRORSSON Mona,47,42,SWE,0+2,2,20:35.2
Women 10km Pursuit,Vysocina Arena,2021-03-07T11:00:00Z,HAUSER Lisa Theresa,38,45,AUT,4+1+1+0,6,31:19.7
Men 10km Sprint,Vysocina Arena,2021-03-11T16:30:00Z,HARJULA Tuomas,54,47,FIN,1+0,1,23:56.9
Men 12.5km Pursuit,Vysocina Arena,2021-03-13T13:45:00Z,RANTA Jaakko,53,50,FIN,0+0+1+3,4,33:04.3
Women 7.5km Sprint,Vysocina Arena,2021-03-12T16:30:00Z,MINKKINEN Suvi,82,49,FIN,0+0,0,19:54.0
Women 10km Pursuit,Vysocina Arena,2021-03-13T16:30:00Z,WEIDEL Anna,55,52,GER,1+3+0+0,4,31:50.7
Men 10km Sprint,Swedish National Biathlon Arena,2021-03-19T14:30:00Z,ANDERSEN Filip Fjeld,102,58,NOR,1+2,3,24:49.0
Single Mixed Relay (W+M),Vysocina Arena,2021-03-14T12:45:00Z,LUNDER Emma,34,14,CAN,2+3 0+0,2+3,28:05.9
Single Mixed Relay (W+M),Arena am Rennsteig,2021-01-10T13:40:00Z,STALDER Sebastian,45,16,SUI,0+1 0+1,0+2,42:29.8
Men 4x7.5km Relay,Biathlon Stadium Hochfilzen,2020-12-13T13:00:00Z,KODAMA Shohei,75,17,JPN,1+3 1+3,2+6,1:22:01.4
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-12-03T15:30:00Z,JAKIELA Joanna,100,90,POL,2+3,5,25:10.7
Men 4x7.5km Relay,Biathlon Stadium Kontiolahti,2020-12-06T11:45:00Z,ILIEV Vladimir,73,21,BUL,0+3 0+2,0+5,41:28.2
Women 7.5km Sprint,Swedish National Biathlon Arena,2021-03-19T11:30:00Z,VOIGT Vanessa,92,57,GER,1+0,1,20:22.5
Women 4x6km Relay,Suedtirol Arena Alto Adige,2021-01-24T11:45:00Z,SEMERENKO Vita,32,8,UKR,0+1 0+1,0+2,17:28.9
Men 12.5km Pursuit,Arena am Rennsteig,2021-01-09T13:45:00Z,ELISEEV Matvey,16,16,RUS,1+1+0+1,3,37:20.5
Women 10km Pursuit,Biathlon Stadium Hochfilzen,2020-12-19T14:00:00Z,ROEISELAND Marte Olsbu,3,7,NOR,1+0+2+1,4,29:28.3
Women 10km Pursuit,Biathlon Stadium Hochfilzen,2020-12-13T10:45:00Z,ROEISELAND Marte Olsbu,4,1,NOR,1+0+0+1,2,29:04.6
Men 10km Sprint,Biathlon Stadium Hochfilzen,2020-12-17T13:15:00Z,BOE Johannes Thingnes,44,3,NOR,2+0,2,23:24.8
Women 7.5km Sprint,Biathlon Stadium Hochfilzen,2020-12-18T13:15:00Z,PREUSS Franziska,43,4,GER,0+1,1,20:03.1
Men 15km Mass Start,Biathlon Stadium Hochfilzen,2020-12-20T11:00:00Z,FILLON MAILLET Quentin,5,9,FRA,1+1+0+0,2,36:25.7
Men 12.5km Pursuit,Biathlon Stadium Hochfilzen,2020-12-19T12:00:00Z,DALE Johannes,2,6,NOR,0+0+3+1,4,31:53.5
Women 10km Pursuit,Arena am Rennsteig,2021-01-09T11:45:00Z,DZHIMA Yuliia,11,14,UKR,0+0+2+1,3,34:38.1
Women 7.5km Sprint,Arena am Rennsteig,2021-01-08T10:30:00Z,DZHIMA Yuliia,70,10,UKR,0+1,1,25:03.9
Men 10km Sprint,Arena am Rennsteig,2021-01-08T13:15:00Z,FAK Jakov,44,12,SLO,0+1,1,26:17.4
Men 10km Sprint,Arena am Rennsteig,2021-01-13T13:30:00Z,LEITNER Felix,59,19,AUT,0+0,0,26:00.9
Mixed Relay (W+M),Arena am Rennsteig,2021-01-10T10:30:00Z,KRUCHINKINA Elena,58,4,BLR,0+0 0+0,0+0,36:49.1
Men 4x7.5km Relay,Arena am Rennsteig,2021-01-15T13:30:00Z,LESSER Erik,12,5,GER,0+2 0+0,0+2,20:18.2
Men 15km Mass Start,Arena am Rennsteig,2021-01-17T11:30:00Z,SIMA Michal,30,27,SVK,0+2+0+0,2,40:07.7
Women 7.5km Sprint,Arena am Rennsteig,2021-01-14T13:30:00Z,MIRONOVA Svetlana,71,21,RUS,0+2,2,23:48.1
Women 4x6km Relay,Arena am Rennsteig,2021-01-16T13:45:00Z,SIMON Julia,10,5,FRA,0+3 0+1,0+4,1:16:19.7
Men 20km Individual,Suedtirol Arena Alto Adige,2021-01-22T12:15:00Z,HORN Philipp,26,30,GER,1+2+1+0,4,52:13.6
Women 15km Individual,Suedtirol Arena Alto Adige,2021-01-21T13:15:00Z,OEBERG Hanna,40,29,SWE,2+0+1+0,3,45:50.6
