description,location,start_time,name,start_order,result_order,nat,shooting,total,total_time
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,KRUCHINKINA Elena,32,45,BLR,0+1,1,22:58.8
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,ALIMBEKAVA Dzinara,102,8,BLR,0+0+1+1,2,45:50.9
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,EBERHARD Julian,32,21,AUT,1+0,1,25:30.3
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,KUKLINA Larisa,17,46,RUS,1+1,2,23:01.6
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,CHEVALIER-BOUCHET Anais,41,9,FRA,0+0+2+0,2,45:52.9
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,WEGER Benjamin,20,22,SUI,1+0,1,25:32.8
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,GASPARIN Elisa,72,47,SUI,1+0,1,23:02.7
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,DZHIMA Yuliia,19,10,UKR,0+0+0+0,0,45:55.7
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,RASTORGUJEVS Andrejs,33,23,LAT,2+0,2,25:34.2
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,MAEDA Sari,59,48,JPN,2+0,2,23:03.3
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,BRORSSON Mona,1,11,SWE,0+0+1+0,1,46:00.6
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,LAEGREID Sturla Holm,37,1,NOR,0+0+0+0,0,48:57.0
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,BJOENTEGAARD Erlend,50,24,NOR,1+1,2,25:41.6
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,TODOROVA Milena,33,49,BUL,0+1,1,23:06.5
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,HAMMERSCHMIDT Maren,71,12,GER,0+0+0+1,1,46:05.9
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,BOE Johannes Thingnes,26,2,NOR,1+0+0+0,1,49:16.6
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,CLAUDE Fabien,47,25,FRA,2+1,3,25:42.0
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,BLASHKO Darya,93,50,UKR,0+2,2,23:09.5
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,LUNDER Emma,6,13,CAN,1+0+1+0,2,46:36.0
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,LESSER Erik,47,3,GER,0+1+0+0,1,50:00.6
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,GUIGONNAT Antonin,80,26,FRA,1+0,1,25:49.5
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,HAECKI Lena,11,51,SUI,2+0,2,23:10.9
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,ZDOUC Dunja,91,14,AUT,0+0+0+0,0,46:36.7
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,FILLON MAILLET Quentin,23,4,FRA,0+1+0+0,1,50:02.9
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,STROLIA Vytautas,14,27,LTU,1+1,2,25:57.8
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,HOEGBERG Elisabeth,76,52,SWE,2+2,4,23:14.4
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,KAISHEVA Uliana,43,15,RUS,0+1+1+0,2,46:38.9
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,MORAVEC Ondrej,25,5,CZE,0+0+0+0,0,50:03.9
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,NELIN Jesper,7,28,SWE,1+2,3,25:58.0
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,PUSKARCIKOVA Eva,50,53,CZE,2+0,2,23:14.6
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,KRUCHINKINA Elena,34,16,BLR,0+0+1+1,2,46:39.3
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,SAMUELSSON Sebastian,30,6,SWE,1+1+0+0,2,50:28.8
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,BOCHARNIKOV Sergey,28,29,BLR,2+2,4,26:05.3
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,EDER Mari,35,54,FIN,1+2,3,23:17.5
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,SCHWAIGER Julia,55,17,AUT,1+0+0+0,1,46:40.0
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,FAK Jakov,12,7,SLO,0+0+0+1,1,50:29.0
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,BROWN Jake,59,30,USA,1+0,1,26:06.0
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,HETTICH Janina,61,55,GER,0+2,2,23:18.0
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,PREUSS Franziska,26,18,GER,1+1+0+1,3,46:41.6
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,JACQUELIN Emilien,15,8,FRA,1+1+0+0,2,50:59.1
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,YALIOTNAU Raman,51,31,BLR,1+1,2,26:06.1
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,KRUCHINKINA Irina,100,56,BLR,0+2,2,23:19.4
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,COLOMBO Caroline,98,19,FRA,0+1+0+1,2,46:46.1
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,GUIGONNAT Antonin,77,9,FRA,0+0+1+0,1,51:10.6
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,DOLL Benedikt,25,32,GER,1+2,3,26:08.2
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,INNERHOFER Katharina,15,57,AUT,0+3,3,23:20.6
Women 10km Pursuit,Biathlon Stadium Kontiolahti,2020-12-06T14:15:00Z,ECKHOFF Tiril,8,1,NOR,0+0+0+0,0,31:05.9
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,KNOTTEN Karoline Offigstad,51,20,NOR,1+1+1+0,3,46:47.4
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,LOGINOV Alexander,6,10,RUS,0+1+0+1,2,51:16.2
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,LANGER Thierry,48,33,BEL,1+0,1,26:08.8
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,SIMON Julia,8,58,FRA,2+0,2,23:21.1
Women 10km Pursuit,Biathlon Stadium Kontiolahti,2020-12-06T14:15:00Z,ROEISELAND Marte Olsbu,4,2,NOR,0+0+1+1,2,31:27.4
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,DAVIDOVA Marketa,8,21,CZE,1+0+0+2,3,46:51.7
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,KRCMAR Michal,19,11,CZE,1+0+0+0,1,51:23.3
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,SMOLSKI Anton,23,34,BLR,2+1,3,26:11.1
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,CHARVATOVA Lucie,13,59,CZE,1+2,3,23:23.4
Women 10km Pursuit,Biathlon Stadium Kontiolahti,2020-12-06T14:15:00Z,OEBERG Hanna,1,3,SWE,0+1+1+1,3,31:41.3
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,SIMON Julia,24,22,FRA,0+0+0+2,2,46:52.1
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,BOE Tarjei,17,12,NOR,0+1+0+2,3,51:29.7
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,REES Roman,54,35,GER,0+2,2,26:12.9
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,DZHIMA Yuliia,9,60,UKR,1+1,2,23:25.4
Women 10km Pursuit,Biathlon Stadium Kontiolahti,2020-12-06T14:15:00Z,ALIMBEKAVA Dzinara,7,4,BLR,0+0+1+1,2,32:00.9
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,KRYUKO Iryna,25,23,BLR,0+1+0+1,2,46:54.6
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,BJOENTEGAARD Erlend,48,13,NOR,1+0+1+0,2,51:39.9
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,SUCHILOV Semen,100,36,RUS,1+0,1,26:15.6
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,SANFILIPPO Federica,28,61,ITA,0+2,2,23:31.7
Women 10km Pursuit,Biathlon Stadium Kontiolahti,2020-12-06T14:15:00Z,SKOTTHEIM Johanna,20,5,SWE,0+0+0+0,0,32:02.2
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,ROEISELAND Marte Olsbu,28,24,NOR,1+2+0+1,4,46:56.2
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,HARJULA Tuomas,68,14,FIN,0+1+0+0,1,51:44.1
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,KOMATZ David,55,37,AUT,0+1,1,26:16.0
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,TALIHAERM Johanna,26,62,EST,0+2,2,23:32.1
Women 10km Pursuit,Biathlon Stadium Kontiolahti,2020-12-06T14:15:00Z,TANDREVOLD Ingrid Landmark,11,6,NOR,0+0+1+1,2,32:09.7
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,BLASHKO Darya,77,25,UKR,1+0+0+0,1,47:02.6
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,DESTHIEUX Simon,18,15,FRA,1+1+0+0,2,51:48.6
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,EDER Simon,31,38,AUT,1+1,2,26:17.1
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,LIEN Ida,101,63,NOR,1+2,3,23:33.7
Women 10km Pursuit,Biathlon Stadium Kontiolahti,2020-12-06T14:15:00Z,PREUSS Franziska,16,7,GER,1+0+0+1,2,32:14.5
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,TOMINGAS Tuuli,61,26,EST,0+1+1+0,2,47:10.6
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,STROLIA Vytautas,3,16,LTU,1+0+0+0,1,51:53.3
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,VARABEI Maksim,90,39,BLR,0+1,1,26:18.0
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,LIE Lotte,67,64,BEL,1+0,1,23:35.5
Women 10km Pursuit,Biathlon Stadium Kontiolahti,2020-12-06T14:15:00Z,OEBERG Elvira,3,8,SWE,1+1+1+1,4,32:25.2
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,VORONINA Tamara,39,27,RUS,0+0+0+1,1,47:11.0
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,PEIFFER Arnd,8,17,GER,0+1+1+0,2,51:53.9
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,CLAUDE Florent,27,40,BEL,2+0,2,26:20.4
Men 4x7.5km Relay,Biathlon Stadium Kontiolahti,2020-12-06T11:45:00Z,NORWAY,1,1,NOR,0+3 0+6,0+9,1:16:21.0
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,KADEVA Daniela,74,65,BUL,0+1,1,23:35.7
Women 10km Pursuit,Biathlon Stadium Kontiolahti,2020-12-06T14:15:00Z,LUNDER Emma,19,9,CAN,0+0+0+1,1,32:36.2
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,TANDREVOLD Ingrid Landmark,3,28,NOR,0+1+0+2,3,47:12.4
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,GOW Christian,38,18,CAN,0+0+0+0,0,51:54.0
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,SEPPALA Tero,24,41,FIN,1+2,3,26:20.9
Men 4x7.5km Relay,Biathlon Stadium Kontiolahti,2020-12-06T11:45:00Z,LAEGREID Sturla Holm,2,1,NOR,0+0 0+2,0+2,18:56.1
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,GONTIER Nicole,42,66,ITA,1+1,2,23:36.0
Women 10km Pursuit,Biathlon Stadium Kontiolahti,2020-12-06T14:15:00Z,BRAISAZ-BOUCHET Justine,37,10,FRA,0+1+0+1,2,32:44.5
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,REID Joanne,82,29,USA,0+0+0+1,1,47:13.1
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,SMOLSKI Anton,16,19,BLR,1+0+2+0,3,52:01.0
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,HIIDENSALO Olli,86,42,FIN,0+1,1,26:22.5
Men 4x7.5km Relay,Biathlon Stadium Kontiolahti,2020-12-06T11:45:00Z,CHRISTIANSEN Vetle Sjaastad,3,1,NOR,0+0 0+2,0+2,38:16.9
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,OJA Regina,43,67,EST,1+1,2,23:41.7
Women 10km Pursuit,Biathlon Stadium Kontiolahti,2020-12-06T14:15:00Z,HERRMANN Denise,5,11,GER,0+2+1+1,4,32:46.3
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,LIEN Ida,99,30,NOR,0+2+0+0,2,47:27.5
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,HOFER Lukas,24,20,ITA,0+1+1+1,3,52:08.1
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,DOHERTY Sean,52,43,USA,1+1,2,26:22.7
Men 4x7.5km Relay,Biathlon Stadium Kontiolahti,2020-12-06T11:45:00Z,BOE Tarjei,4,1,NOR,0+0 0+1,0+1,57:25.5
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,SCHWAIGER Julia,58,68,AUT,2+1,3,23:43.3
Women 10km Pursuit,Biathlon Stadium Kontiolahti,2020-12-06T14:15:00Z,BLASHKO Darya,18,12,UKR,1+0+0+0,1,32:50.7
Women 15km Individual,Biathlon Stadium Kontiolahti,2020-11-28T13:20:00Z,TALIHAERM Johanna,20,31,EST,0+0+0+1,1,47:35.1
Men 20km Individual,Biathlon Stadium Kontiolahti,2020-11-28T10:00:00Z,RASTORGUJEVS Andrejs,11,21,LAT,0+0+0+2,2,52:11.9
Men 10km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T09:30:00Z,SINAPOV Anton,46,44,BUL,0+1,1,26:26.9
Men 4x7.5km Relay,Biathlon Stadium Kontiolahti,2020-12-06T11:45:00Z,BOE Johannes Thingnes,5,1,NOR,0+3 0+1,0+4,1:16:21.0
Women 7.5km Sprint,Biathlon Stadium Kontiolahti,2020-11-29T12:40:00Z,EINFALT Lea,54,69,SLO,0+2,2,23:43.4
Women 10km Pursuit,Biathlon Stadium Kontiolahti,2020-12-06T14:15:00Z,PAVLOVA Evgeniya,44,13,RUS,0+0+0+1,1,32:51.6
